player	player_id	position	team_name	player_game_count	batted_passes	declined_penalties	franchise_id	grades_pass_rush_defense	hits	hurries	pass_rush_opp	pass_rush_percent	pass_rush_win_rate	pass_rush_wins	penalties	prp	sacks	snap_counts_pass_play	snap_counts_pass_rush	total_pressures	true_pass_set_batted_passes	true_pass_set_hits	true_pass_set_hurries	true_pass_set_pass_rush_opp	true_pass_set_pass_rush_percent	true_pass_set_pass_rush_win_rate	true_pass_set_pass_rush_wins	true_pass_set_prp	true_pass_set_sacks	true_pass_set_snap_counts_pass_play	true_pass_set_snap_counts_pass_rush	true_pass_set_total_pressures
Kris Abrams-Draine,124194,CB,MISSOURI,11,1,12.6,47.2,99.5,13.9,6.6,0,0,11,20.8,229,71.5,74.4,85.5,56.0,82.4,84.1,0,80,6.3,2,9,4,98.5,25,364,366,9,29,53,4,406,206,1.2,16.2

Terrion Arnold,146603,CB,ALABAMA,9,6,16.2,53.8,99.1,10.5,5.7,0,2,11,21.2,103,73.1,73.1,41.0,56.0,74.0,76.5,1,43,8.6,3,7,4,82.5,28,314,317,6,26,52,2,383,71,1.3,13.7

Beau Brade,129499,S,MARYLAND,12,5,8.9,64.7,97.5,18.1,11.7,0,1,6,17.6,215,82.7,74.8,21.4,55.0,63.7,60.2,2,56,11.1,4,5,2,73.5,22,432,443,4,27,34,1,263,137,0.7,12.0

Jarvis Brownlee Jr.,99734,CB,LOUISVILLE,9,1,15.9,48.4,99.2,16.3,7.9,1,0,4,12.9,210,77.1,77.1,83.4,58.7,75,77.2,1,46,6.7,1,3,2,80.6,15,260,262,4,13,31,2,224,30,0.9,14.9

Javon Bullard,146726,CB,GEORGIA,11,2,6.3,63.9,95.5,12.5,8.0,0,0,4,11.1,173,81.9,81.0,88.6,69.6,70.2,81.0,0,34,9.1,2,3,1,89.7,23,300,314,14,18,36,2,137,126,0.5,6.0

Calen Bullock,146424,S,USC,12,6,13.1,62.5,99.6,27.7,17.3,0,0,3,12.5,326,89.0,83.2,42.8,57.2,56.4,87.6,5,47,3.2,1,3,4,96.4,15,449,451,5,24,24,4,243,114,0.6,16.2

Caelen Carson,123377,CB,WAKE,11,1,10.4,56.3,98.3,9.4,5.3,0,1,7,10.9,339,71.7,73.7,47.2,52.9,83.4,68.2,0,41,18.2,6,4,2,98.2,36,349,355,7,26,64,4,436,146,1.3,12.1

M.J. Devonshire,98832,CB,PITTSBURGH,12,1,13.5,53.3,98.8,11.6,6.2,0,2,9,15.0,268,73.9,75.3,85.5,51.3,78.6,86.1,2,61,3.3,1,6,2,82.6,32,395,400,4,28,60,4,400,111,1.1,12.5

